Code;Libellé;Médiane du niveau de vie 2021;Taux d'activité par tranche d'âge 2021;Part des actifs occupés de 15 ans ou plus  les transports en commun 2021;Population municipale 2021;Part des diplômés d'un BAC+5 ou plus dans la pop. non scolarisée de 15 ans ou + 2021;École maternelle, primaire, élémentaire (en nombre) 2023;Médecin généraliste (en nombre) 2023
81001;Aguts;25020;84.8;1.1;236;14.4;0;0
81002;Aiguefonde;21090;73.5;0.9;2510;2.6;2;1
81003;Alban;20370;78.6;1.1;930;3.2;1;2
81004;Albi;21650;67.7;4.7;49714;11;18;57
81005;Albine;19770;73.7;1;512;2.1;1;0
81006;Algans;23590;81.4;5.2;203;13.8;0;0
81007;Alos;0;66.7;6.1;97;6.5;0;0
81008;Almayrac;20470;71.1;0;295;6;0;0
81009;Amarens;0;77.1;0;66;11.1;0;0
81010;Ambialet;20940;79.4;0.5;470;5.5;1;0
81011;Ambres;23980;78.3;5;1036;10.8;1;0
81012;Andillac;0;75;2.1;118;11.9;0;0
81013;Andouque;21140;80.6;0.7;400;5.4;1;0
81014;Anglès;19600;73.6;0.5;512;5;1;1
81015;Appelle;0;91.3;2.8;72;14.5;0;0
81016;Arfons;18010;73.3;0;167;12.2;0;1
81017;Arifat;18170;67.5;0;139;0;0;0
81018;Arthès;23520;77.7;1.4;2523;6.9;2;1
81019;Assac;18670;75.6;0;148;9.1;0;0
81020;Aussac;22610;83.3;1.6;266;5.2;0;0
81021;Aussillon;18530;68;2.4;5706;4;3;0
81022;Bannières;29020;81.2;2;208;14.9;0;0
81023;Barre;17970;83.6;0;209;1.2;0;0
81024;Beauvais-sur-Tescou;21770;83.3;2.7;372;7.4;0;0
81025;Belcastel;28740;81.7;0;236;21.6;0;0
81026;Bellegarde-Marsal;22060;76.6;0.7;701;5.9;1;0
81027;Belleserre;23630;78.8;0;161;4.8;0;0
81028;Berlats;17220;65.5;0;107;7.1;0;0
81029;Bernac;24090;77.6;0;184;8.6;1;0
81030;Bertre;23950;76.1;0;110;5.1;0;0
81031;Le Bez;22380;82;0.5;874;3.6;1;0
81032;Blan;21670;77.7;0.4;1112;4.1;1;0
81033;Blaye-les-Mines;19270;70.1;2.2;2914;1.7;2;0
81034;Boissezon;18090;73.1;0;386;5.9;1;0
81035;Bournazel;21170;73.8;4.2;231;10.1;0;0
81036;Bout-du-Pont-de-Larn;23140;74.8;1;1272;3.3;1;0
81037;Brassac;20980;79.9;2.2;1294;3.1;2;3
81038;Brens;23900;77.8;3.3;2393;9.7;1;1
81039;Briatexte;21110;76.6;2.5;1980;4.7;2;2
81040;Brousse;20420;73.4;0.5;435;3.3;1;0
81041;Broze;0;84.6;0;111;10;0;0
81042;Burlats;22910;77.6;0.8;2018;6.9;2;1
81043;Busque;22350;76.9;0;722;2.2;1;0
81044;Cabanès;21780;78.6;1.5;310;7.1;0;0
81045;Les Cabannes;17840;74;5.6;367;8.1;0;0
81046;Cadalen;23820;78.1;1.7;1531;8.7;1;3
81047;Cadix;18870;77.6;0;216;2.9;0;0
81048;Cagnac-les-Mines;21390;73.8;1.5;2594;4.1;1;2
81049;Cahuzac;20930;71.3;11.3;359;6;0;0
81050;Cambon-lès-Lavaur;24320;80.8;1.6;351;14.6;0;0
81051;Cahuzac-sur-Vère;20900;78.3;2.4;1189;10.2;1;2
81052;Cambon;25670;78.2;1;2129;6.8;1;1
81053;Cambounès;19730;79.1;1.4;336;5.5;1;0
81054;Cambounet-sur-le-Sor;23650;78.2;0.2;971;5.3;1;0
81055;Les Cammazes;19370;78.6;0.6;382;5.3;1;0
81056;Campagnac;21910;75.8;4.2;158;12.7;0;0
81058;Carbes;23980;85.1;0;236;5.4;1;0
81059;Carlus;24090;79;1.1;661;7.4;1;0
81060;Carmaux;19350;68.8;2.4;9898;2.8;7;6
81061;Castanet;24220;76.8;1.3;196;7.8;0;0
81062;Fontrieu;19120;72.3;3.5;940;4;1;0
81063;Castelnau-de-Lévis;24500;78.8;0.6;1617;8.6;1;2
81064;Castelnau-de-Montmiral;21490;77;2.7;1050;8.6;1;2
81065;Castres;20940;72;4.7;42672;7.8;30;48
81066;Caucalières;21450;75.5;0.8;285;4.2;0;0
81067;Cestayrols;22220;77;1.7;466;9.2;1;0
81068;Combefa;23080;78;0;182;6;0;0
81069;Cordes-sur-Ciel;19430;71.8;3.7;808;8.6;1;4
81070;Coufouleux;23620;79.1;9.3;3001;11.2;2;0
81071;Courris;0;64.9;0;79;6.3;0;0
81072;Crespin;0;66.7;0;112;4.8;0;0
81073;Crespinet;22500;78.9;1.2;181;3.4;0;0
81074;Cunac;24140;78.6;1.3;1618;7.6;1;0
81075;Cuq;22090;75.6;4;495;6.6;1;0
81076;Cuq-Toulza;22200;84.4;0.6;708;9.4;1;1
81077;Curvalle;17700;70.6;0.7;387;4.1;1;0
81078;Damiatte;21040;79.3;3.5;1054;7.8;1;2
81079;Dénat;23140;77.7;2.2;822;5.9;1;0
81080;Donnazac;0;86.8;0;65;5.1;1;0
81081;Dourgne;21630;74.3;1.8;1308;5.3;1;0
81082;Le Dourn;0;79.7;0;114;9.4;0;0
81083;Durfort;19260;75.2;5.4;248;4.3;0;0
81084;Escoussens;21870;77.8;1.3;616;3.1;1;0
81085;Lacapelle-Escroux;0;50;0;42;4.9;0;0
81086;Espérausses;16270;54.2;2.3;164;4.8;0;0
81087;Fayssac;24000;71.9;2.9;365;11.2;1;0
81088;Fauch;22900;77.9;0.7;587;6.1;1;0
81089;Faussergues;18880;82.1;1.9;132;3.5;0;0
81090;Fénols;22910;77.8;0.9;250;7.9;1;0
81092;Fiac;24050;76.1;2.5;925;6.8;1;0
81093;Florentin;23770;67.6;2.2;697;8.1;1;0
81094;Fraissines;0;72.5;0;92;7.7;0;0
81095;Frausseilles;0;65.9;6.5;84;17.1;0;0
81096;Le Fraysse;20800;77.8;0.5;422;4.3;0;0
